source_id,label_in_guide,url,source_type,role,title_resolved,authors_or_owner,year,resolution_status,http_status,used_by_units,first_file,notes
SRC-194,Build a managed knowledge base,https://docs.aws.amazon.com/bedrock/latest/userguide/kb-build-managed.html,ベンダー公式仕様,公式仕様,Build a managed knowledge base,Amazon Web Services,継続更新,resolved,200,10.1.1;10.1.3;10.7.6;INTRO-10,,review_ledger_addition
SRC-195,Use agentic retrieval to query a knowledge base,https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-agentic-retrieve.html,ベンダー公式仕様,公式仕様,Use agentic retrieval to query a knowledge base,Amazon Web Services,継続更新,resolved,200,10.1.1;10.7.6,,review_ledger_addition
SRC-196,Configure and customize queries and response generation,https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-config.html,ベンダー公式仕様,公式仕様,Configure and customize queries and response generation,Amazon Web Services,継続更新,resolved,200,10.1.2;10.4.1;10.4.2,,review_ledger_addition
SRC-197,Set up a vector store for your knowledge base,https://docs.aws.amazon.com/bedrock/latest/userguide/knowledge-base-setup.html,ベンダー公式仕様,公式仕様,Set up a vector store for your knowledge base,Amazon Web Services,継続更新,resolved,200,10.1.2;10.2.3;10.3.2,,review_ledger_addition
SRC-198,Use contextual grounding check to filter hallucinations in responses,https://docs.aws.amazon.com/bedrock/latest/userguide/guardrails-contextual-grounding-check.html,ベンダー公式仕様,公式仕様,Use contextual grounding check to filter hallucinations in responses,Amazon Web Services,継続更新,resolved,200,10.5.3,,review_ledger_addition
SRC-199,Query a knowledge base and retrieve data,https://docs.aws.amazon.com/bedrock/latest/userguide/kb-test-retrieve.html,ベンダー公式仕様,公式仕様,Query a knowledge base and retrieve data,Amazon Web Services,継続更新,resolved,200,10.5.3,,review_ledger_addition
SRC-200,Getting started with Amazon S3 Vectors,https://docs.aws.amazon.com/AmazonS3/latest/userguide/s3-vectors-getting-started.html,ベンダー公式仕様,公式仕様,Getting started with Amazon S3 Vectors,Amazon Web Services,継続更新,resolved,200,10.1.2;10.2.3;10.4.2;10.7.1,,review_ledger_addition
SRC-201,Semantic Adapter for Universal Text Embeddings: Diagnosing and Mitigating Negation Blindness to Enhance Universality,https://arxiv.org/abs/2504.00584,査読付き会議採択論文（著者公開原稿）,一次研究（著者公開原稿）,Semantic Adapter for Universal Text Embeddings: Diagnosing and Mitigating Negation Blindness to Enhance Universality,Hongliu Cao,2025,resolved,200,3.6.4,,review_ledger_addition
